id,Año,Mes,Fecha_inicial ,Fecha_final ,Nombre_Evento,Descripción,Temas,Ciudad,Lugar,Sitio_Web,Público,Expositores,Cargo
87,2021,5,05/27/2021 12:00:00 AM,05/27/2021 12:00:00 AM,Presentación del Portal de Datos Abiertos de Colombia a funcionarios del gobierno de Brasil,Compartir la experiencia del gobierno de Colombia en recolectar y publicar datos abiertos por medio de la plataforma de Socrata,Datos Abiertos,Brasilia,Virtual,,Funcionarios del Gobierno de Brasil,Asesor del Viceministerio de Economía Digital /,Asesor del Viceministerio de Economía Digital
88,2021,6,06/14/2021 12:00:00 AM,06/14/2021 12:00:00 AM,Septima Reunión del Grupo de Expertos de Datos Abiertos de la OCDE,Reunión para revisar las lecciones aprendidas en temas de datos abiertos luego de 1 año de pandemia y revisión del borrador del cuestionario del OURdata index de 2022,"Datos abiertos, políticas públicas, covid19",Paris,Virtual,,"Países miembros de la OCDE, países asociados, sociedad civil",Aura Maria Cifuentes,Directora de Gobierno Digital
90,2022,3,03/04/2022 12:00:00 AM,03/04/2022 12:00:00 AM,Día internacional de datos abiertos 2022,"El Día de los Datos Abiertos es una celebración mundial anual de los datos abiertos. Cada año, grupos de todo el mundo crean eventos locales para mostrar los beneficios de los datos abiertos en su comunidad local y fomentar la adopción de políticas de datos abiertos en el gobierno, las empresas y la sociedad civil.",Datos Abiertos,Bogotá,Virtual,,Ciudadanos en general,Ingrid Tatiana Montealegre,Directora de Gobierno Digital
90,2022,3,03/10/2022 12:00:00 AM,03/10/2022 12:00:00 AM,"Ciclo de conversatorios ""Hablemos de datos abiertos"" MINTEL - Ecuador Open Data Day","Experiencia en datos abiertos, buenas prácticas y enseñanzas para que Latinoamerica avance en el país. beneficios de los datos abiertos en su comunidad local y fomentar la adopción de políticas de datos abiertos en el gobierno, las empresas y la sociedad civil.",Datos Abiertos,Bogotá,Virtual,,"Entidades públicas, Academia, Sociedad civil",Carlos Julio Leon,Lider de datos abiertos
90,2022,4,04/05/2022 12:00:00 AM,04/05/2022 12:00:00 AM,Foro Transformación Digital - “Datos Abiertos para Combatir la Corrupción- Experiencia del gobierno de Colombia”,Foro Transformación Digital - “Datos Abiertos para Combatir la Corrupción- Experiencia del gobierno de Colombia”,"Datos abiertos, PIDA, Transparencia",Bogotá,Virtual,,"Entidades públicas, Academia, Sociedad civil",Ingrid Tatiana Montealegre,Directora de Gobierno Digital
89,2022,11,11/29/2022 12:00:00 AM,11/29/2022 12:00:00 AM,DataJam por la transparencia 2022,"Un DataJam es un evento que se centra en el análisis innovador de datos abiertos para llegar a nuevos conocimientos y nuevos aprendizajes que generen soluciones para mejorar las políticas públicas, informar, tomar decisiones, mejorar la veeduría ciudadana... etc. Esta tercera edición, el DataJam 2022, tiene como objetivo promover la transparencia, el acceso a la información y el gobierno abierto como caminos para combatir la corrupción.","Datos abiertos, PIDA, Transparencia",Bogotá,Presencial,https://app.sikuani.net/events/usaiddatajam2022,"Entidades publicas, academia, emprendedores, sociedad civil",Ingrid Tatiana Montealegre,Directora de Gobierno Digital
90,2023,3,03/05/2023 12:00:00 AM,03/05/2023 12:00:00 AM,Día internacional de datos abiertos 2023,"Celebración mundial del Día de los datos abiertos, la cual se celebra cada año en todo el mundo, en donde se crean eventos locales e internacionales para mostrar los beneficios de los datos abiertos en las comunidades, y cómo estos fomentan la transparencia y la adopción de políticas de datos abiertos por parte de gobierno, empresas, sociedad civil y organismo multilaterales.",Datos Abiertos,Bogotá,Virtual,,Ciudadanos en general,Jose Nicolas Barrios,Subdirector de Fortalecimientos de capacidades publicas digitales
91,2023,5,05/09/2023 12:00:00 AM,05/09/2023 12:00:00 AM,Encuentro nacional de estado abierto 2023,Encuentro nacional de estado abierto 2023,Gobierno Abierto y Datos abiertos,Bogotá,Presencial,https://twitter.com/LuisaMedinaTIC/status/1656015441590984740/photo/1,"Entidades públicas, sociedad civil",Ana Maria Sterling,Directora de Gobierno Digital
92,2023,5,05/30/2023 12:00:00 AM,05/30/2023 12:00:00 AM,Desafíos e implicaciones de una gobernanza de datos,"con el objetivo de reconocer el sentido, el fundamento e importancia de los aspectos técnicos, institucionales y normativos para garantizar una gestión íntegra de los datos de investigación, desarrollo tecnológico e innovación en Colombia.",Datos Abiertos,Bogotá,Presencial,https://twitter.com/jnicobarrios/status/1663694888540536834/,Academia,Jose Nicolas Barrios,Subdirector de Fortalecimientos de capacidades publicas digitales
93,2023,7,07/26/2023 12:00:00 AM,07/27/2023 12:00:00 AM,Conmemoración Día Población UNFPA- DANE Colombia,"tema central ""Los datos abiertos en un mundo de 8.000 millones de personas""",Datos Abiertos,Bogotá,Virtual,Link del evento (https://www.youtube.com/watch?v=natgSUotR44),"La convocatoria a esta reunión es realizada por el Fondo de Población de las Naciones Unidas (UNFPA). Está previsto que en la misma participen representantes de institutos nacionales de estadísticas, agencias, fondos y programas del Sistema de Naciones Unidas, organismos internacionales en la región, mecanismos gubernamentales de promoción de estadísticas ambientales, estudiantes, y técnicos especializados en la generación de dicha información",Ana Maria Sterling,Directora de Gobierno Digital
