population_in_2023,population_in_2022,city,Country Name,population_growthRate,type,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4588666.0,4457882.0,Kabul,Afghanistan,0.0293,w,AFG,1.92595161110872,2.01487886339461,2.07899662655224,2.13965084372647,2.21600692082533,2.25352401228011,2.29263788976095,2.34735064349307,2.37891654743303,2.43318262480668,2.41536917407618,2.42939569274321,2.52442123659969,2.51300652866696,2.39328715201941,2.17951743613923,2.08695112645253,1.96337688969092,0.366492805213276,-3.92417169353628,-11.2753243281662,-10.0530062531184,-1.36570774423119,2.89433470700097,2.58769693348811,-0.608560872677256,-1.21019039755447,0.586318311683292,2.75187729340688,0.202433955671883,0.469880406765633,11.5225244151801,14.9644548746872,9.86426206628341,6.04653555233991,4.1030220499493,3.9106052193522,3.88293060489748,4.07787948472197,1.4438030241194,0.742516834396313,6.44932147797304,7.54101896480183,3.93317768847308,3.57650800354462,4.13967803534352,1.79319572747206,2.00233326232255,3.56128837446668,2.89490410370988,3.68950830230738,4.07762772858795,3.46678830410982,3.65757606530364,3.12134122890873,2.58154939895659,2.86649214750073,2.88520797304849,2.90852909268743,3.13474690779163,2.85135765449931,2.53449831666733
9292336.0,8952496.0,Luanda,Angola,0.038,w,AGO,1.5583550408936,1.46073837045336,1.41042530862807,1.3017451764171,1.11104064143605,0.875806322615983,0.69669809166994,0.695984736456634,1.02035464910429,1.69452576739121,2.41433910780115,2.99313194082514,3.29937434466257,3.35235974556416,3.32832392258039,3.2740728463574,3.31744868369035,3.398701247718,3.43544752192563,3.50398465508095,3.55442220894389,3.59219488468114,3.61713653303378,3.60987241166769,3.6037510091581,3.56585603514141,3.43867373579781,3.36704277651175,3.37135095008737,3.34514364694209,3.32613717425745,3.24885002280732,3.16154666755438,3.1984325378482,3.28967582614934,3.33013249836537,3.33515378152671,3.27906774761554,3.22644785271891,3.24412146672851,3.28521723299089,3.33513160843876,3.41332121240757,3.50638882370405,3.55765898910381,3.5920133134417,3.63958930439587,3.67090920225351,3.69348247645612,3.73479765843852,3.75879638504539,3.75870252194126,3.73552542857565,3.68442896683492,3.61767751762095,3.58621100683242,3.5509866361995,3.46445698360985,3.39527779197097,3.26834840458456,3.16602986153025,3.09675267067326
958548.0,914456.0,Lubango,Angola,0.0482,w,AGO,1.5583550408936,1.46073837045336,1.41042530862807,1.3017451764171,1.11104064143605,0.875806322615983,0.69669809166994,0.695984736456634,1.02035464910429,1.69452576739121,2.41433910780115,2.99313194082514,3.29937434466257,3.35235974556416,3.32832392258039,3.2740728463574,3.31744868369035,3.398701247718,3.43544752192563,3.50398465508095,3.55442220894389,3.59219488468114,3.61713653303378,3.60987241166769,3.6037510091581,3.56585603514141,3.43867373579781,3.36704277651175,3.37135095008737,3.34514364694209,3.32613717425745,3.24885002280732,3.16154666755438,3.1984325378482,3.28967582614934,3.33013249836537,3.33515378152671,3.27906774761554,3.22644785271891,3.24412146672851,3.28521723299089,3.33513160843876,3.41332121240757,3.50638882370405,3.55765898910381,3.5920133134417,3.63958930439587,3.67090920225351,3.69348247645612,3.73479765843852,3.75879638504539,3.75870252194126,3.73552542857565,3.68442896683492,3.61767751762095,3.58621100683242,3.5509866361995,3.46445698360985,3.39527779197097,3.26834840458456,3.16602986153025,3.09675267067326
904676.0,861878.0,Cabinda,Angola,0.0497,w,AGO,1.5583550408936,1.46073837045336,1.41042530862807,1.3017451764171,1.11104064143605,0.875806322615983,0.69669809166994,0.695984736456634,1.02035464910429,1.69452576739121,2.41433910780115,2.99313194082514,3.29937434466257,3.35235974556416,3.32832392258039,3.2740728463574,3.31744868369035,3.398701247718,3.43544752192563,3.50398465508095,3.55442220894389,3.59219488468114,3.61713653303378,3.60987241166769,3.6037510091581,3.56585603514141,3.43867373579781,3.36704277651175,3.37135095008737,3.34514364694209,3.32613717425745,3.24885002280732,3.16154666755438,3.1984325378482,3.28967582614934,3.33013249836537,3.33515378152671,3.27906774761554,3.22644785271891,3.24412146672851,3.28521723299089,3.33513160843876,3.41332121240757,3.50638882370405,3.55765898910381,3.5920133134417,3.63958930439587,3.67090920225351,3.69348247645612,3.73479765843852,3.75879638504539,3.75870252194126,3.73552542857565,3.68442896683492,3.61767751762095,3.58621100683242,3.5509866361995,3.46445698360985,3.39527779197097,3.26834840458456,3.16602986153025,3.09675267067326
809468.0,776832.0,Benguela,Angola,0.042,w,AGO,1.5583550408936,1.46073837045336,1.41042530862807,1.3017451764171,1.11104064143605,0.875806322615983,0.69669809166994,0.695984736456634,1.02035464910429,1.69452576739121,2.41433910780115,2.99313194082514,3.29937434466257,3.35235974556416,3.32832392258039,3.2740728463574,3.31744868369035,3.398701247718,3.43544752192563,3.50398465508095,3.55442220894389,3.59219488468114,3.61713653303378,3.60987241166769,3.6037510091581,3.56585603514141,3.43867373579781,3.36704277651175,3.37135095008737,3.34514364694209,3.32613717425745,3.24885002280732,3.16154666755438,3.1984325378482,3.28967582614934,3.33013249836537,3.33515378152671,3.27906774761554,3.22644785271891,3.24412146672851,3.28521723299089,3.33513160843876,3.41332121240757,3.50638882370405,3.55765898910381,3.5920133134417,3.63958930439587,3.67090920225351,3.69348247645612,3.73479765843852,3.75879638504539,3.75870252194126,3.73552542857565,3.68442896683492,3.61767751762095,3.58621100683242,3.5509866361995,3.46445698360985,3.39527779197097,3.26834840458456,3.16602986153025,3.09675267067326
783243.0,743760.0,Malanje,Angola,0.0531,w,AGO,1.5583550408936,1.46073837045336,1.41042530862807,1.3017451764171,1.11104064143605,0.875806322615983,0.69669809166994,0.695984736456634,1.02035464910429,1.69452576739121,2.41433910780115,2.99313194082514,3.29937434466257,3.35235974556416,3.32832392258039,3.2740728463574,3.31744868369035,3.398701247718,3.43544752192563,3.50398465508095,3.55442220894389,3.59219488468114,3.61713653303378,3.60987241166769,3.6037510091581,3.56585603514141,3.43867373579781,3.36704277651175,3.37135095008737,3.34514364694209,3.32613717425745,3.24885002280732,3.16154666755438,3.1984325378482,3.28967582614934,3.33013249836537,3.33515378152671,3.27906774761554,3.22644785271891,3.24412146672851,3.28521723299089,3.33513160843876,3.41332121240757,3.50638882370405,3.55765898910381,3.5920133134417,3.63958930439587,3.67090920225351,3.69348247645612,3.73479765843852,3.75879638504539,3.75870252194126,3.73552542857565,3.68442896683492,3.61767751762095,3.58621100683242,3.5509866361995,3.46445698360985,3.39527779197097,3.26834840458456,3.16602986153025,3.09675267067326
3007583.0,2964382.0,Dubai,United Arab Emirates,0.0146,w,ARE,5.50993917228534,5.44740529121602,5.31635595043551,5.15082312248104,5.00956990591286,4.89115354125692,4.75868905669773,10.9634456430162,17.0399743653847,16.2954748453481,14.4756499611231,13.0068349335734,11.8082029950538,10.8105044017579,9.94474064466588,12.2448504878623,14.0550880972457,13.0295151583775,12.0612859321966,10.9963468210741,8.15235614542674,5.96957863532609,5.7981806452141,5.56008835387875,5.29949316212603,6.26284024064243,7.04566354989878,6.61502192954251,6.22605569049676,5.86903318464931,5.53965639945375,5.23067555863232,4.9348705828098,4.64639135932791,4.40817686960834,5.54384709828192,6.52191067880396,6.17818855537547,5.86451455757029,5.58038700101525,5.31707596147158,5.06487258360989,4.82934268529322,4.609526743863,6.95572689795874,13.4836720911499,18.1279839755253,17.3990859957442,13.4229206026704,5.93976536580988,1.09556271332912,1.04134460783085,0.997641825826328,0.956397623844095,0.911950036242349,0.863868922846647,0.819744473334198,0.789450107726376,0.779087177439076,0.817694385518168,0.834812788038646,0.808075150558113
1830858.0,1785684.0,Sharjah,United Arab Emirates,0.0253,w,ARE,5.50993917228534,5.44740529121602,5.31635595043551,5.15082312248104,5.00956990591286,4.89115354125692,4.75868905669773,10.9634456430162,17.0399743653847,16.2954748453481,14.4756499611231,13.0068349335734,11.8082029950538,10.8105044017579,9.94474064466588,12.2448504878623,14.0550880972457,13.0295151583775,12.0612859321966,10.9963468210741,8.15235614542674,5.96957863532609,5.7981806452141,5.56008835387875,5.29949316212603,6.26284024064243,7.04566354989878,6.61502192954251,6.22605569049676,5.86903318464931,5.53965639945375,5.23067555863232,4.9348705828098,4.64639135932791,4.40817686960834,5.54384709828192,6.52191067880396,6.17818855537547,5.86451455757029,5.58038700101525,5.31707596147158,5.06487258360989,4.82934268529322,4.609526743863,6.95572689795874,13.4836720911499,18.1279839755253,17.3990859957442,13.4229206026704,5.93976536580988,1.09556271332912,1.04134460783085,0.997641825826328,0.956397623844095,0.911950036242349,0.863868922846647,0.819744473334198,0.789450107726376,0.779087177439076,0.817694385518168,0.834812788038646,0.808075150558113
1566999.0,1539830.0,Abu Dhabi,United Arab Emirates,0.0176,w,ARE,5.50993917228534,5.44740529121602,5.31635595043551,5.15082312248104,5.00956990591286,4.89115354125692,4.75868905669773,10.9634456430162,17.0399743653847,16.2954748453481,14.4756499611231,13.0068349335734,11.8082029950538,10.8105044017579,9.94474064466588,12.2448504878623,14.0550880972457,13.0295151583775,12.0612859321966,10.9963468210741,8.15235614542674,5.96957863532609,5.7981806452141,5.56008835387875,5.29949316212603,6.26284024064243,7.04566354989878,6.61502192954251,6.22605569049676,5.86903318464931,5.53965639945375,5.23067555863232,4.9348705828098,4.64639135932791,4.40817686960834,5.54384709828192,6.52191067880396,6.17818855537547,5.86451455757029,5.58038700101525,5.31707596147158,5.06487258360989,4.82934268529322,4.609526743863,6.95572689795874,13.4836720911499,18.1279839755253,17.3990859957442,13.4229206026704,5.93976536580988,1.09556271332912,1.04134460783085,0.997641825826328,0.956397623844095,0.911950036242349,0.863868922846647,0.819744473334198,0.789450107726376,0.779087177439076,0.817694385518168,0.834812788038646,0.808075150558113
15490415.0,15369919.0,Buenos Aires,Argentina,0.0078,w,ARG,1.61302935871282,1.62928187313431,1.62166139329755,1.59952318668413,1.57753297819568,1.57214364722082,1.56733492428668,1.55205695164038,1.54154392219959,1.56729964784306,1.58358304042331,1.59481478504434,1.64326169179334,1.70070709763708,1.65927396323707,1.58995977036791,1.59811228647283,1.60546261056525,1.60065891136555,1.5849187137401,1.58060960059338,1.57328620697584,1.55878211832102,1.53715277473885,1.51340289933673,1.51132782511058,1.51097418180074,1.50808699373212,1.48765537832153,1.45640251463185,1.42406315580335,1.38743464174592,1.35796579095645,1.34702378575008,1.31755424518083,1.26041058779251,1.19826447409119,1.15817763601349,1.15204385364535,1.13327702210541,1.0991714603689,1.07353834961783,1.03236085902218,1.01533668354561,1.03347622351885,1.03467173566483,1.00629733064648,0.992294094354656,1.01428389337816,0.255582398485167,1.15305928006386,1.13690569378967,1.11910919999772,1.09946109101836,1.07800134449604,1.05718157762752,1.03713389686514,1.01580834908002,0.993397493293046,0.970053991438048,0.947490959333989,0.925835473662058
